date,Store,Item,Forecast,Year,MonthNum,Month,DayNum,Day,IsWeekend
2018-01-01,1,1,11.8,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,2,31.85,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,3,20.4,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,4,11.84,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,5,10.19,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,6,31.59,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,7,31.38,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,8,42.2,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,9,28.28,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,10,40.73,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,11,38.68,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,12,38.55,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,13,47.32,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,14,32.12,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,15,50.37,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,16,13.53,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,17,19.33,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,18,46.86,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,19,21.86,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,20,25.97,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,21,21.67,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,22,44.4,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,23,15.76,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,24,36.85,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,25,44.4,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,26,25.66,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,27,11.91,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,28,50.03,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,29,38.46,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,30,21.68,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,31,31.65,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,32,24.14,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,33,38.27,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,34,13.33,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,35,36.23,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,36,42.63,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,37,15.7,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,38,45.57,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,39,23.94,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,40,15.8,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,41,12.01,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,42,20.44,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,43,28.51,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,44,15.98,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,45,44.57,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,46,31.66,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,47,11.94,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,48,28.0,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,49,15.79,2018,1,Jan,0,Mon,Weekday
2018-01-01,1,50,36.1,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,1,17.88,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,2,45.39,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,3,27.77,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,4,18.41,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,5,14.95,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,6,45.4,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,7,44.76,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,8,58.61,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,9,39.76,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,10,56.84,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,11,54.04,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,12,54.24,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,13,64.35,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,14,45.85,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,15,67.83,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,16,20.19,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,17,25.45,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,18,64.66,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,19,31.06,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,20,36.97,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,21,31.23,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,22,61.79,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,23,22.46,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,24,51.3,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,25,60.89,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,26,36.77,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,27,18.06,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,28,67.95,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,29,54.27,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,30,31.45,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,31,45.87,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,32,34.94,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,33,54.03,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,34,20.05,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,35,50.44,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,36,58.48,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,37,23.12,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,38,61.65,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,39,33.45,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,40,22.71,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,41,18.11,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,42,28.46,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,43,39.81,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,44,22.61,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,45,61.64,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,46,45.56,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,47,18.12,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,48,39.9,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,49,22.61,2018,1,Jan,0,Mon,Weekday
2018-01-01,2,50,51.09,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,1,15.15,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,2,40.14,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,3,24.9,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,4,15.23,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,5,13.11,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,6,40.34,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,7,40.32,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,8,53.1,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,9,35.87,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,10,51.39,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,11,48.86,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,12,49.16,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,13,58.04,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,14,40.39,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,15,61.57,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,16,17.59,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,17,22.99,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,18,58.33,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,19,28.1,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,20,31.81,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,21,27.89,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,22,55.86,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,23,19.86,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,24,45.55,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,25,55.51,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,26,32.44,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,27,15.27,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,28,59.75,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,29,48.84,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,30,28.54,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,31,40.29,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,32,30.09,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,33,48.7,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,34,17.73,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,35,45.59,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,36,53.28,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,37,20.23,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,38,55.88,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,39,30.16,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,40,20.22,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,41,15.36,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,42,24.96,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,43,35.82,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,44,19.38,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,45,55.86,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,46,40.41,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,47,15.34,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,48,35.7,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,49,19.89,2018,1,Jan,0,Mon,Weekday
2018-01-01,3,50,45.97,2018,1,Jan,0,Mon,Weekday
2018-01-01,4,1,13.96,2018,1,Jan,0,Mon,Weekday
2018-01-01,4,2,37.22,2018,1,Jan,0,Mon,Weekday
2018-01-01,4,3,23.03,2018,1,Jan,0,Mon,Weekday
2018-01-01,4,4,13.86,2018,1,Jan,0,Mon,Weekday
2018-01-01,4,5,12.18,2018,1,Jan,0,Mon,Weekday
2018-01-01,4,6,37.41,2018,1,Jan,0,Mon,Weekday
